environment,mean,median,std_dev,minimum,maximum,coefficient_of_variation_percent
docker,7474.892,7472.45,14.55333363872365,7462.21,7498.85,0.1946962396075241
vm,7450.908,7455.17,11.030624189047632,7437.52,7462.41,0.14804402616496717
