workload,environment,runs,mean,median,std_dev,coefficient_of_variation_percent,minimum,maximum
random_read,docker,5,26112.94,26191.39,427.8387936477936,1.6384167912452354,25455.22,26595.07
random_read,vm,5,24879.044,25202.13,764.0610572002728,3.0711029619959382,23641.99,25575.16
random_write,docker,5,6127.324,6145.61,40.17227439416422,0.6556251047629311,6068.9,6169.94
random_write,vm,5,6103.132,6088.87,127.96970840788849,2.0967874921907064,5937.84,6296.3
sequential_read,docker,5,268669.496,269917.59,4671.0617571682715,1.7385902853550117,261006.61,272908.22
sequential_read,vm,5,212981.474,222740.52,16623.066710349503,7.804935517701179,188131.15,226339.87
sequential_write,docker,5,128052.706,129146.42,3758.2152413984945,2.934897167576056,121460.46,130722.78
sequential_write,vm,5,111929.59,114792.24,7875.493135839176,7.036113628075628,98113.58,117947.43
