concurrency,total_events_per_sec_vm,scaling_efficiency_percent_vm,wall_time_seconds_vm,throughput_change_vs_previous_percent_vm,total_events_per_sec_docker,scaling_efficiency_percent_docker,wall_time_seconds_docker,throughput_change_vs_previous_percent_docker,docker_vs_vm_throughput_percent
1,1841.72,100.0,30.0083,0.0,1890.03,100.0,30.0489,0.0,2.6230914579849243
2,3715.34,100.86603826857502,30.0079,101.73207653715006,3741.97,98.99234403686712,30.0559,97.98468807373426,0.7167580894346051
4,7471.58,101.42122581065524,30.0085,101.1008413765631,7486.95,99.0321582197108,30.0153,100.08043891319281,0.20571284788491714
8,7433.63,50.45304117889798,30.0173,-0.5079246959812989,7116.35,47.06505981386539,30.0534,-4.94994623979056,-4.2681704631519155
