timestamp,environment,concurrency,prime_limit,duration_seconds,total_events,total_events_per_sec,wall_time_seconds
2026-09-03T05:49:02Z,docker,1,20000,30,1890.03,1890.03,30.0489
2026-09-02T13:03:32Z,vm,1,20000,30,1841.72,1841.72,30.0083
2026-09-03T05:50:56Z,docker,2,20000,30,3741.97,3741.97,30.0559
2026-09-02T13:07:11Z,vm,2,20000,30,3715.34,3715.34,30.0079
2026-09-03T05:52:12Z,docker,4,20000,30,7486.95,7486.95,30.0153
2026-09-02T13:08:17Z,vm,4,20000,30,7471.58,7471.58,30.0085
2026-09-03T05:53:53Z,docker,8,20000,30,7116.35,7116.35,30.0534
2026-09-02T13:10:48Z,vm,8,20000,30,7433.63,7433.63,30.0173
