timestamp,environment,concurrency,prime_limit,duration_seconds,total_events,total_events_per_sec,wall_time_seconds
2026-09-03T05:49:02Z,docker,1,20000,30,1890.03,1890.03,30.0489
2026-09-03T05:50:56Z,docker,2,20000,30,3741.97,3741.97,30.0559
2026-09-03T05:52:12Z,docker,4,20000,30,7486.95,7486.95,30.0153
2026-09-03T05:53:53Z,docker,8,20000,30,7116.35,7116.35,30.0534
